city	latitude	longitude
Del Rey Oaks	36.583332	-121.833336
Delano	35.766666	-119.233330
Denair	37.516666	-120.783333
Desert Hot Springs	33.950001	-116.500000
Diamond Bar	34.000000	-117.816666
Diamond Springs	38.683334	-120.800003
Dinuba	36.533333	-119.383331
Discovery Bay	37.900002	-121.599998
Dixon	38.433334	-121.816666
Dominguez Hills	33.849998	-118.233330
Downey	33.933334	-118.116669
Doyle	40.016666	-120.099998
Duarte	34.133331	-117.949997
Dublin	37.700001	-121.933334
Ducor	35.883331	-119.033333
Dulzura	32.633331	-116.766670
Dunnigan	38.883331	-121.966667
Eagle Rock	34.116669	-118.199997
Earp	34.150002	-114.300003
East Los Angeles	34.033333	-118.166664
East Palo Alto	37.466667	-122.133331
Eastvale	33.950001	-117.550003
Edison	35.333332	-118.866669
Edwards	34.916668	-117.933334
El Cajon	32.783333	-116.949997
El Centro	32.783333	-115.550003
El Cerrito	37.900002	-122.300003
El Dorado	38.666668	-120.833336
El Dorado Hills	38.683334	-121.066666
El Modena	33.783333	-117.800003
El Monte	34.066666	-118.016670
El Segundo	33.916668	-118.400002
El Sereno	34.066666	-118.166664
El Sobrante	37.966667	-122.283333
Elk	39.116669	-123.716667
Elk Grove	38.433334	-121.366669
Embarcadero	37.783333	-122.383331
Emeryville	37.816666	-122.283333
Encinitas	33.033333	-117.266670
Encino	34.150002	-118.500000
Escalon	37.783333	-120.983330
Escondido	33.116669	-117.066666
Esparto	38.683334	-122.016670
Estero Bay	35.383331	-120.900002
Etna	41.450001	-122.883331
Eureka	40.799999	-124.150002
Exeter	36.283333	-119.133331
Fair Oaks	38.650002	-121.250000
Fairfax	37.983334	-122.583336
Fairfield	38.250000	-122.050003
Fallbrook	33.366669	-117.233330
Fallon	38.266666	-122.900002
Farmersville	36.283333	-119.199997
Farmington	37.916668	-120.983330
Felton	37.049999	-122.050003
Ferndale	40.566666	-124.250000
Fillmore	34.400002	-118.916664
Firebaugh	36.849998	-120.449997
Florence	33.966667	-118.233330
Folsom	38.666668	-121.150002
Fontana	34.083332	-117.433334
Foothill Farms	38.666668	-121.333336
Foothill Ranch	33.683334	-117.650002
Fort Bragg	39.433334	-123.800003
Fort Hunter Liggett	35.950001	-121.216667
Fort Irwin National Training Center	35.233334	-116.666664
Fort Jones	41.599998	-122.833336
Fortuna	40.583332	-124.150002
Foster City	37.549999	-122.250000
Fountain Valley	33.700001	-117.949997
Fowler	36.633331	-119.683334
Freedom	36.933334	-121.783333
Freestone	38.366669	-122.900002
Fremont	37.533333	-121.983330
French Camp	37.883331	-121.266670
Fresno	36.750000	-119.766670
Friant	36.983334	-119.699997
Fullerton	33.866669	-117.916664
Fulton	38.483334	-122.766670
Galt	38.250000	-121.300003
Garberville	40.099998	-123.783333
Garden Grove	33.766666	-117.949997
Gardena	33.883331	-118.300003
Georgetown	38.900002	-120.833336
Geyserville	38.700001	-122.900002
Gilroy	37.000000	-121.566666
Glendale	34.166668	-118.250000
Glendora	34.133331	-117.849998
Glenn	39.516666	-122.000000
Gold River	38.616669	-121.233330
Goleta	34.433334	-119.800003
Gonzales	36.500000	-121.433334
Goshen	36.333332	-119.416664
Granada Hills	34.266666	-118.500000
Grand Terrace	34.016666	-117.316666
Granite Bay	38.750000	-121.150002
Grass Valley	39.216667	-121.050003
Graton	38.433334	-122.849998
Greenbrae	37.933334	-122.516670
Greenfield	36.316666	-121.233330
Greenville	40.133331	-120.949997
Greenwood	38.883331	-120.900002
Gridley	39.349998	-121.683334
Grover Beach	35.116669	-120.616669
Guadalupe	34.950001	-120.566666
Guerneville	38.500000	-122.983330
Gustine	37.250000	-120.983330
Hacienda Heights	34.000000	-117.966667
Half Moon Bay	37.450001	-122.433334
Hamilton City	39.733334	-122.000000
Hanford	36.316666	-119.633331
Happy Camp	41.783333	-123.383331
Harbor City	33.783333	-118.283333
Hawaiian Gardens	33.816666	-118.066666
Hawthorne	33.916668	-118.333336
Hayward	37.666668	-122.066666
Healdsburg	38.616669	-122.849998
Heber	32.716667	-115.516670
Helm	36.516666	-120.083336
Hemet	33.733334	-116.966667
Hercules	38.016666	-122.283333
Herlong	40.133331	-120.133331
Hermosa Beach	33.849998	-118.383331
Hesperia	34.400002	-117.300003
Hickman	37.616669	-120.750000
Highgrove	34.000000	-117.316666
Highland	34.116669	-117.199997
Highland Park	34.099998	-118.183334
Hillsborough	37.549999	-122.349998
Hilmar	37.400002	-120.849998
Hinkley	34.933334	-117.199997
Hollister	36.833332	-121.383331
Hollywood	34.099998	-118.333336
Holt	37.933334	-121.416664
Hood	38.366669	-121.516670
Hopland	38.966667	-123.099998
Hughson	37.599998	-120.866669
Huntington Beach	33.650002	-117.983330
Huntington Park	33.966667	-118.216667
Huron	36.200001	-120.099998
Hydesville	40.533333	-124.083336
Imperial	32.833332	-115.566666
Imperial Beach	32.566666	-117.116669
Indianola	40.799999	-124.066666
Indio	33.716667	-116.216667
Industry	34.016666	-117.949997
Inglewood	33.950001	-118.333336
Inverness	38.099998	-122.849998
Inyokern	35.633331	-117.800003
Ione	38.349998	-120.916664
Irvine	33.683334	-117.783333
Irwindale	34.099998	-117.949997
Isleton	38.150002	-121.599998
Ivanhoe	36.383331	-119.216667
Jackson	38.333332	-120.766670
Jamestown	37.950001	-120.400002
Jamul	32.716667	-116.866669
Jenner	38.433334	-123.099998
Jolon	35.966667	-121.166664
Junction City	40.733334	-123.050003
Jurupa Valley	33.983334	-117.466667
