Palm Desert	48445
Palm Springs	44552
Palmdale	152750
Palo Alto	64403
Palos Verdes Estates	13438
Paradise	26218
Paramount	54098
Parlier	14494
Pasadena	137122
Paso Robles	29793
Patterson	20413
Perris	68386
Petaluma	57941
Pico Rivera	62942
Piedmont	10667
Pinole	18390
Pismo Beach	7655
Pittsburg	63264
Placentia	50533
PlacervilleCounty seat	10389
Pleasant Hill	33152
Pleasanton	70285
Plymouth	1005
Point Arena	449
Pomona	149058
Port Hueneme	21723
Porterville	54165
Portola	2104
Portola Valley	4353
Poway	47811
Rancho Cordova	64776
Rancho Cucamonga	165269
Rancho Mirage	17218
Rancho Palos Verdes	41643
Rancho Santa Margarita	47853
Red BluffCounty seat	14076
ReddingCounty seat	89861
Redlands	68747
Redondo Beach	66747
Redwood CityCounty seat	76815
Reedley	24194
Rialto	99171
Richmond	103701
Ridgecrest	27616
Rio Dell	3368
Rio Vista	7360
Ripon	14297
Riverbank	22678
RiversideCounty seat	303871
Rocklin	56974
Rohnert Park	40971
Rolling Hills	1860
Rolling Hills Estates	8067
Rosemead	53764
Roseville	118788
Ross	2415
SacramentoCounty seat	466488
SalinasCounty seat	150441
San Anselmo	12336
San BernardinoCounty seat	209924
San Bruno	41114
San Carlos	28406
San Clemente	63522
San DiegoCounty seat	1301617
San Dimas	33371
San Fernando	23645
San FranciscoCounty seat	805235
San Gabriel	39718
San Jacinto	44199
San Joaquin	4001
San JoseCounty seat	945942
San Juan Bautista	1862
San Juan Capistrano	34593
San Leandro	84950
San Luis ObispoCounty seat	45119
San Marcos	83781
San Marino	13147
San Mateo	97207
San Pablo	29139
San RafaelCounty seat	57713
San Ramon	72148
Sand City	334
Sanger	24270
Santa AnaCounty seat	324528
Santa BarbaraCounty seat	88410
Santa Clara	116468
Santa Clarita	176320
Santa CruzCounty seat	59946
Santa Fe Springs	16223
Santa Maria	99553
Santa Monica	89736
Santa Paula	29321
Santa RosaCounty seat	167815
Santee	53413
Saratoga	29926
Sausalito	7061
Scotts Valley	11580
Seal Beach	24168
Seaside	33025
Sebastopol	7379
Selma	23219
Shafter	16988
Shasta Lake	10164
Sierra Madre	10917
Signal Hill	11016
Simi Valley	124237
Solana Beach	12867
Soledad	25738
Solvang	5245
Sonoma	10648
SonoraCounty seat	4903
South El Monte	20116
South Gate	94396
South Lake Tahoe	21403
South Pasadena	25619
South San Francisco	63632
St. Helena	5814
Stanton	38186
StocktonCounty seat	291707
Suisun City	28111
Sunnyvale	140081
SusanvilleCounty seat	17947
Sutter Creek	2501
Taft	9327
Tehachapi	14414
Tehama	418
Temecula	100097
Temple City	35558
Thousand Oaks	126683
Tiburon	8962
Torrance	145538
Tracy	82922
Trinidad	367
Truckee	16180
Tulare	59278
Tulelake	1010
Turlock	68549
Tustin	75540
Twentynine Palms	25048
UkiahCounty seat	16075
Union City	69516
Upland	73732
Vacaville	92428
Vallejo	115942
VenturaCounty seat	106433
Vernon	112
Victorville	115903
Villa Park	5812
VisaliaCounty seat	124442
Vista	93834
Walnut	29172
Walnut Creek	64173
Wasco	25545
Waterford	8456
Watsonville	51199
Weed	2967
West Covina	106098
West Hollywood	34399
West Sacramento	48744
Westlake Village	8270
Westminster	89701
Westmorland	2225
Wheatland	3456
Whittier	85331
Wildomar	32176
Williams	5123
Willits	4888
WillowsCounty seat	6166
Windsor	26801
Winters	6624
Woodlake	7279
WoodlandCounty seat	55468
Woodside	5287
Yorba Linda	64234
Yountville	2933
YrekaCounty seat	7765
Yuba CityCounty seat	64925
Yucaipa	51367
Yucca Valley	20700
